PlanId,StepId,StepInfo,ActionType,ActionName,Input,Output,Expected,Critical
P1,1,Open Browser,xUI,xOpenBrowser,chrome,,,y
P1,2,Navigate to Home,xUI,xNavigate,base_url,,,y
P1,3,Verify Title,xUI,xGetTitle,,FoXYiZ - Modern Workflow Automation,,y
P1,4,Wait for Main Heading,xUI,xWaitFor,main_heading_locator,,,y
P1,5,Verify Main Heading,xUI,xGetText,main_heading_locator,FoXYiZ,,y
P1,6,Verify Feature Cards,xUI,xGetText,feature_cards_locator,Automation Engine,,n
P1,7,Close Browser,xUI,xCloseBrowser,,,,n
P2,1,Open Browser,xUI,xOpenBrowser,chrome,,,y
P2,2,Navigate to Home,xUI,xNavigate,base_url,,,y
P2,3,Click F Engine Link,xUI,xClick,f_engine_link_locator,,,y
P2,4,Verify F Engine Page,xUI,xGetTitle,,FoXYiZ - F Engine,,y
P2,5,Click Y YPADs Link,xUI,xClick,y_ypads_link_locator,,,y
P2,6,Verify Y YPADs Page,xUI,xGetTitle,,FoXYiZ - Y Tasks,,y
P2,7,Click Z Results Link,xUI,xClick,z_results_link_locator,,,y
P2,8,Verify Z Results Page,xUI,xGetTitle,,FoXYiZ - Z Results,,y
P2,9,Click AI Assistant Link,xUI,xClick,ai_assistant_link_locator,,,y
P2,10,Verify AI Assistant Page,xUI,xGetTitle,,FoXYiZ - AI Assistant,,y
P2,11,Click Home Link,xUI,xClick,home_link_locator,,,y
P2,12,Verify Back to Home,xUI,xGetTitle,,FoXYiZ - Modern Workflow Automation,,y
P2,13,Close Browser,xUI,xCloseBrowser,,,,n
P3,1,Open Browser,xUI,xOpenBrowser,chrome,,,y
P3,2,Navigate to F Engine,xUI,xNavigate,f_engine_url,,,y
P3,3,Verify F Engine Title,xUI,xGetText,f_engine_heading_locator,⚡ F Engine,,y
P3,4,Verify Cloud Section,xUI,xGetText,cloud_section_locator,Run on Cloud,,y
P3,5,Verify Local Section,xUI,xGetText,local_section_locator,Run on Local,,y
P3,6,Click Show More Cloud,xUI,xClick,show_more_cloud_button,,,n
P3,7,Verify Cloud Benefits,xUI,xWaitFor,cloud_benefits_list,,,n
P3,8,Click Show More Local,xUI,xClick,show_more_local_button,,,n
P3,9,Verify Local Benefits,xUI,xWaitFor,local_benefits_list,,,n
P3,10,Click Download Local,xUI,xClick,download_local_button,,,n
P3,11,Close Browser,xUI,xCloseBrowser,,,,n
P4,1,Open Browser,xUI,xOpenBrowser,chrome,,,y
P4,2,Navigate to Y YPADs,xUI,xNavigate,y_ypads_url,,,y
P4,3,Verify YPADs Title,xUI,xGetText,y_ypads_heading_locator,📋 Y - Your Playbooks,,y
P4,4,Verify Upload Section,xUI,xGetText,upload_section_locator,📤 Upload New YPAD Set,,y
P4,5,Verify YPADs Table,xUI,xWaitFor,ypads_table,,,y
P4,6,Verify Math YPAD,xUI,xGetText,math_ypad_cell,Math,,y
P4,7,Verify Mix YPAD,xUI,xGetText,mix_ypad_cell,Mix,,y
P4,8,Click YPAD Button,xUI,xClick,ypad_action_button,,,n
P4,9,Close Browser,xUI,xCloseBrowser,,,,n
P5,1,Open Browser,xUI,xOpenBrowser,chrome,,,y
P5,2,Navigate to Z Results,xUI,xNavigate,z_results_url,,,y
P5,3,Verify Z Results Title,xUI,xGetText,z_results_heading_locator,📊 Z - Results & Analytics,,y
P5,4,Verify Upload Section,xUI,xGetText,z_upload_section_locator,📤 Upload Results Files,,y
P5,5,Verify Results Table,xUI,xWaitFor,results_table,,,y
P5,6,Verify No Results Message,xUI,xGetText,no_results_message,No results found,,n
P5,7,Close Browser,xUI,xCloseBrowser,,,,n
P6,1,Open Browser,xUI,xOpenBrowser,chrome,,,y
P6,2,Navigate to AI Assistant,xUI,xNavigate,ai_assistant_url,,,y
P6,3,Verify AI Assistant Title,xUI,xGetText,ai_assistant_heading_locator,🤖 AI Assistant,,y
P6,4,Verify Context Sources,xUI,xGetText,context_sources_locator,📂 Context Sources,,y
P6,5,Verify AI Chat Section,xUI,xGetText,ai_chat_section_locator,💬 AI Chat,,y
P6,6,Verify Quick Prompts,xUI,xGetText,quick_prompts_locator,Quick Prompts,,y
P6,7,Click Suggest Optimizations,xUI,xClick,suggest_optimizations_button,,,n
P6,8,Verify AI Response,xUI,xWaitFor,ai_response_message,,,n
P6,9,Click Identify Issues,xUI,xClick,identify_issues_button,,,n
P6,10,Verify AI Configuration,xUI,xGetText,ai_config_section_locator,⚙️ AI Configuration,,n
P6,11,Close Browser,xUI,xCloseBrowser,,,,n
